folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_7_mxi_232,f_thickness,20260712,4.914918370816e+08,1.492453381917e-01,9.417830797388e-02,1.584710337259e+00,second_order,-7.269807375136e+09,1.683029225257e+11,7.096804496455e+12,-60.68574763934018,-99.21312159744404,-99.98712419867304
MFM_t_7_mxi_233,f_thickness,20260712,6.447521696618e+07,1.238585352730e-01,8.208534145581e-02,1.508899555955e+00,second_order,-1.003962359221e+09,6.568795630277e+09,3.837742085837e+12,-94.57069114568122,-99.96928845123601,-99.99303714725887
MFM_t_7_mxi_234,f_thickness,20260712,4.214748792265e+08,6.830057439903e-02,4.193791599106e-02,1.628611550788e+00,second_order,-1.443518244386e+10,2.129553602531e+12,2.068236544034e+14,-21.936252752575637,-90.04354938244757,-99.6247578350028
MFM_t_7_mxi_235,f_thickness,20260712,1.784692436318e+08,1.257389635010e-01,7.914742070106e-02,1.588667860396e+00,second_order,-3.151174026232e+09,1.061739125569e+11,5.890956664409e+12,-82.9588262099828,-99.50359769484614,-99.98931198010675
MFM_t_7_mxi_236,f_thickness,20260712,4.775680868177e+08,1.136492347385e-01,7.277181017378e-02,1.561720595751e+00,second_order,-8.954769959631e+09,2.838479713373e+11,3.170080843807e+13,-51.573670682298825,-98.67290576477934,-99.94248491535083
MFM_t_7_mxi_237,f_thickness,20260712,1.669763251461e+08,3.966676132650e-02,2.647609924138e-02,1.498210176842e+00,second_order,-7.922415222744e+09,1.114529386561e+11,3.129171397289e+15,-57.15652213315159,-99.47891629560688,-94.32271394124085
MFM_t_7_mxi_238,f_thickness,20260712,6.583508100727e+07,3.910716230190e-02,2.385736540086e-02,1.639207081118e+00,second_order,-3.987546097204e+09,1.890934992027e+12,4.684135135191e+14,-78.43582567243614,-91.15917962959814,-99.15015281286915
MFM_t_7_mxi_239,f_thickness,20260712,1.751728023503e+08,1.118888813461e-01,6.528729805959e-02,1.713792493664e+00,second_order,-4.002166392567e+09,3.041844792223e+11,1.238089872445e+12,-78.35676085657124,-98.57782506981594,-99.99775372151925
MFM_t_7_mxi_240,f_thickness,20260712,4.405736652844e+08,1.146796898158e-01,6.736254165077e-02,1.702425220389e+00,second_order,-9.718164181642e+09,6.799655893784e+11,4.484521450981e+12,-47.44532565936779,-96.8209094130175,-99.99186368917475
MFM_t_7_mxi_241,f_thickness,20260712,2.532020862155e+08,1.297169007932e-01,8.310022739724e-02,1.560969263936e+00,second_order,-4.154563607824e+09,1.001726121394e+11,8.720409825577e+12,-77.53261486885675,-99.53165599362617,-99.98417847575486
